freq,name,osmid,lat,lng,score,OSM Name,Wiki
31,Dominion Bank,3595344907,43.7916369,-79.4445218,6,Toronto Dominion Bank,
3,Dominion Hotel,1000000184344340,43.6570101,-79.3591794,41,Dominion Hotel,"en:Dominion Hotel, Toronto"
2,Dominion Public Building,1000000031728090,43.6460897,-79.3778137,5,Dominion Public Building,
8,Don Rowing Club,1000000116293826,43.5509194,-79.5897561,5,Don Rowing Club,
4,Don Station,4461160862,43.6415108,-79.3850183,0,Don Station,
2,Don Valley Brick Works,277039070,43.6845606,-79.3654443,40,Don Valley Brick Works,
3,Don Valley Golf Course,4471826078,43.7489685,-79.4113878,4,Don Valley Golf Course,en:List of golf courses in Canada
22,Dovercourt Park,1000000009153060,43.6651764,-79.4335024,30,Dovercourt Park,
5,Downsview Airport,1000000014346692,43.7440575,-79.4656662,1,Downsview Airport,en:Downsview Airport
23,Dufferin Gate,23845384,43.6335344,-79.4252759,0,Dufferin Gate,
7,Dufferin Grove Park,1000000015703371,43.6562079,-79.4324949,31,Dufferin Grove Park,en:Dufferin Grove Park
4,Dufferin Loop,385037741,43.6343519,-79.4257854,6,Dufferin Loop,
3,Dufferin Park,1000000031812179,43.6575626,-79.4339786,5,Dufferin Park,
4,Eagle Manor,1000000031560610,43.7005535,-79.5159965,5,Eagle Manor,
1,Earl Haig Public School,1000000025420433,43.6811515,-79.3213274,60,Earl Haig Public School,
3,Earlscourt Park,1000000032255263,43.6733412,-79.4515035,30,Earlscourt Park,
4,East Don River,1962158481,43.81703,-79.411416,6,East Don River,
2,East General Hospital,1000000447744987,43.6899416,-79.3249287,7,Michael Garron Hospital,en:Toronto East General Hospital
5,East Lynn Park,1000000024460930,43.6841942,-79.3153146,30,East Lynn Park,
4,East Toronto Athletic Field,1000000024399080,43.68552,-79.2992699,30,East Toronto Athletic Field,
13,Eastern Gap,555446606,43.6335521,-79.3505172,0,Eastern Gap,
396,Eaton Centre,400926979,43.6541053,-79.3802815,6,Toronto Eaton Centre,
5,Eaton Hall,1000000094091351,43.9617699,-79.5205963,6,Eaton Hall,en:Eaton Hall (King City)
2,Edward Hanlan,3524674519,43.6276722,-79.3894048,0,Edward Hanlan,
26,Edwards Gardens,560681514,43.7329543,-79.3599894,31,Edwards Gardens,en:Edwards Gardens
5,Egerton Ryerson,4305346784,43.6580493,-79.3790424,0,Egerton Ryerson,
1,Eglinton Park,1000000025680414,43.707473,-79.4053162,31,Eglinton Park,en:Eglinton Park (Toronto)
3,Eglinton West,5320359167,43.7000695,-79.4363863,2,Eglinton West,
1,Elm Park,1000000032533811,43.7697331,-79.5240968,5,Elm Park,
9,Emmanuel College,1000000204323317,43.666724,-79.3926267,6,Emmanuel College,"en:Emmanuel College, Toronto"
1,Enercare Centre,1000000227711309,43.635314,-79.4132211,7,Enercare Centre,en:Direct Energy Centre
8,Engineering Annex,1000000023433288,43.6596061,-79.3954232,5,Engineering Annex,
1,Eric Palin Hall,1000000023447542,43.6596147,-79.3774417,5,Eric Palin Hall,
1,Evangel Temple,1000000134822214,43.7472836,-79.4084772,60,Evangel Temple,
119,Exhibition Place,1000000004164234,43.633751,-79.4192546,41,Exhibition Place,en:Exhibition Place
1,Factory Theatre,343276983,43.6455029,-79.4028205,7,Factory Theatre,en:Factory Theatre
2,Falconer Hall,1000000012000657,43.6667134,-79.3939344,5,Falconer Hall,
4,Fantasy Farm,1000000194146570,43.6873306,-79.3595074,40,Fantasy Farm,
4,Far Enough Farm,1000000192579339,43.6199072,-79.3713301,40,Far Enough Farm,
2,Ferry Dock,2447291976,43.6223538,-79.3784443,0,Ferry Dock,
23,First Baptist Church,1000000122169599,43.6546249,-79.3964088,60,First Baptist Church,
18,First Canadian Place,1000000027767627,43.6487661,-79.3816917,6,First Canadian Place,en:First Canadian Place
9,Flatiron Building,1000000300884214,43.6483766,-79.3743019,6,Gooderham Building,en:Gooderham Building
4,Flavelle House,1000000012000629,43.6661332,-79.393908,5,Flavelle House,
4,Food Building,1000000034530514,43.6345731,-79.4195686,5,Toronto Star Food Building,
41,Forest School,1000000043805272,43.6512511,-79.4635544,60,Forest School,
1,Fort York Armoury,1000000031728091,43.6368785,-79.408048,6,Fort York Armoury/Manège Militaire Fort York,en:Fort York Armoury
3,Frost Building,1000000023437176,43.6610326,-79.3896066,6,Frost Building South,en:Frost Building
2,Frost Building North,1000000023437199,43.6616101,-79.3890573,6,Frost Building North,en:Frost Building
2,Galbraith Building,2000000000076177,43.6598312,-79.3961373,5,Galbraith Building,
22,Garrison Common,1000000083327917,43.6384113,-79.4069033,30,Garrison Common,
11,General Hospital,1000000031825723,43.6586108,-79.3881449,7,Toronto General Hospital,en:Toronto General Hospital
1,General Mills,1000000034582589,43.6543258,-79.6195845,5,General Mills,
2,George Brown,2020836809,43.6616892,-79.3914921,0,George Brown,
30,George Brown College,1000000181906001,43.6439865,-79.3655763,6,George Brown College,
1,George Ignatieff Theatre,1000000027291427,43.6658416,-79.3971179,6,George Ignatieff Theatre,
2,Gerald Larkin Building,1000000023113405,43.6656737,-79.3969448,5,Gerald Larkin Building,
1,Gerstein Science Information Centre,1000000012874564,43.6620866,-79.3936387,61,Gerstein Science Information Centre,en:Gerstein Science Information Centre
1,Ghoster Coaster,1000000189872600,43.8435209,-79.5457974,40,Ghoster Coaster,
9,Gibraltar Point,2447291693,43.6134315,-79.3912734,0,Gibraltar Point,
5,Gibraltar Point Lighthouse,555139142,43.6136678,-79.385316,0,Gibraltar Point Lighthouse,
1,Glebe Mart,518304248,43.6898627,-79.320191,0,Glebe Mart,
1,Gledhill Convenience,262919589,43.6935847,-79.3113831,0,Gledhill Convenience,
7,Glen Grove,558715681,43.8432408,-79.0736894,1,Glen Grove,
8,Glen Stewart Park,1000000028158259,43.6746978,-79.294509,30,Glen Stewart Park,
5,Gooderham Building,1000000300884214,43.6483766,-79.3743019,6,Gooderham Building,en:Gooderham Building
2,Grace Church,1000000082251106,43.7949863,-79.141079,60,Grace Church,
1,Grace Toronto Church,1000000060609204,43.6622763,-79.3762026,61,Grace Toronto Church,en:Grace Toronto Church
9,Grange Park,1000000005686871,43.6521701,-79.3922199,31,Grange Park,en:Grange Park (Toronto)
10,Granite Club,1000000346243057,43.733484,-79.3822954,5,Granite Club,
3,Greenwin Square,1000000062004751,43.6716063,-79.3780366,5,Greenwin Square,
193,Grenadier Pond,1000000174225267,43.6434152,-79.466631,0,Grenadier Pond,
4,Gwendolyn MacEwen Park,1000000008103403,43.6686917,-79.406226,30,Gwendolyn MacEwen Park,
3,HMCS York,1000000179462465,43.6343441,-79.4027469,1,H.M.C.S. York,en:HMCS York
13,Harbord Collegiate,1000000004299743,43.6615296,-79.4144031,61,Harbord Collegiate Institute,en:Harbord Collegiate Institute
3,Harbord Collegiate Institute,1000000004299743,43.6615296,-79.4144031,61,Harbord Collegiate Institute,en:Harbord Collegiate Institute
100,Harbour Square,404524674,43.6402122,-79.3770173,5,Harbour Square,
55,Harbour Square Park,1000000034720944,43.6399124,-79.3763505,30,Harbour Square Park,
2,Harbourfront Centre,1000000179154092,43.6385904,-79.3833246,41,Harbourfront Centre,en:Harbourfront Centre
47,Hart House,2000000000001989,43.6639256,-79.3944745,6,Hart House,en:Hart House (University of Toronto)
5,Haultain Building,1000000023433306,43.6599224,-79.3936379,5,Haultain Building,
13,Havergal College,1000000034315339,43.7205075,-79.4130464,61,Havergal College,en:Havergal College
1,Health Centre,869738556,43.7851033,-79.3100123,6,Health Centre,
5,Hearn Generating Station,1000000232951664,43.6470763,-79.3344443,6,Richard L. Hearn Thermal Generating Station (closed),en:Hearn Generating Station
2,High Park Club,1000000023426569,43.6426531,-79.4538746,5,High Park Club,
3,High Park Loop,1000000009454822,43.6480965,-79.4579374,0,High Park Loop,
5,High Park Zoo,1000000023661410,43.6435651,-79.4626984,41,High Park Zoo,en:High Park
5,Hillcrest Park,1000000015804201,43.67596,-79.4244598,30,Hillcrest Park,
10,Holt Renfrew,1000000034121937,43.670334,-79.3882326,6,Holt Renfrew Centre,en:Holt Renfrew
1,Holy Rosary Church,1000000043806459,43.6845439,-79.4138889,60,Holy Rosary Church,
3,Holy Trinity Church,1000000157787345,43.814174,-79.4275484,60,Holy Trinity Church,
1,Home Depot,1000000032706572,43.7317283,-79.4527476,5,Home Depot,
12,Horse Palace,1000000149476923,43.6351767,-79.4171667,5,Horse Palace,
12,Horticulture Building,1000000173199197,43.8241523,-79.185093,5,Horticulture Building,
3,Humane Society,615965404,43.65763,-79.3563427,0,Toronto Humane Society,
1,Humewood House,1000000128948584,43.6841402,-79.4273952,6,Humewood House,
5,Imperial Oil Building,1000000035491458,43.6866626,-79.3994865,6,Imperial Plaza,en:Imperial Oil Building
2,Inglenook Community High School,1000000224675977,43.6540841,-79.3592089,61,Inglenook Community School,en:Inglenook Community High School
5,Innis College,1000000022372215,43.6656204,-79.399593,5,Innis College,
1,Intercontinental Hotel,5056646721,43.6443985,-79.3854265,40,Intercontinental Hotel,
40,Island Filtration Plant,2447292042,43.6145116,-79.3805696,0,Island Filtration Plant,
22,Island Park,3600909469,43.6271544,-79.3896265,4,Toronto Island Park,
2,Island Water Treatment Plant,1000000193612062,43.615068,-79.3821395,0,Island Water Treatment Plant,
1,Island Yacht Club,2447292043,43.6242714,-79.3867066,6,Island Yacht Club,
1,Jarvis Street Baptist Church,1000000043808601,43.660784,-79.375335,61,Jarvis Street Baptist Church,en:Jarvis Street Baptist Church
2,Jean Sibelius Square,1000000007913126,43.6714378,-79.4087966,30,Jean Sibelius Square,
1,Jersey Giant,380041269,43.6485641,-79.3731576,6,Jersey Giant,
1,John Street Roundhouse,1000000024008403,43.6408405,-79.385959,6,John Street Roundhouse,en:John Street Roundhouse
16,Keating Channel,555446688,43.6484232,-79.3523241,0,Keating Channel,
5,Kerr Hall,1000000020061267,43.6593781,-79.3796088,6,Kerr Hall North,en:Kerr Hall
46,Kew Beach,1000000034387686,43.6658365,-79.2984142,0,Kew Beach,
1,Kew Beach Junior Public School,1000000028713665,43.6686871,-79.3028369,60,Kew Beach Junior Public School,
9,Kew Beach Park,1000000028866561,43.6672058,-79.2960444,30,Kew Beach Park,
24,Kew Gardens,1000000024409805,43.668505,-79.2984166,30,Kew Gardens,
204,King Edward Hotel,1000000062058559,43.6491889,-79.3760624,41,The Omni King Edward Hotel,en:King Edward Hotel (Toronto)
90,King Station,697805124,43.6485227,-79.3777728,0,King Station,
1,Kingsway Theatre,535036458,43.6473069,-79.5121819,6,Kingsway Theatre,
1,Kitchen Food Fair,278045471,43.6932856,-79.2999579,0,Kitchen Food Fair,
50,Knox College,1000000008101762,43.6596693,-79.4007352,6,1 Spadina Crescent,en:1 Spadina Crescent
1,Knox United Church,1000000056051930,43.7860975,-79.2783037,61,Knox United Church,en:Knox United Church (Scarborough)
7,Koffler House,1000000020319814,43.6605675,-79.400643,5,Koffler House,
2,Koffler Student Services Centre,1000000008099717,43.6591667,-79.3968995,6,Koffler Student Services Centre,en:Koffler Student Centre
1,Labor Lyceum,1000000103096652,43.6562867,-79.3962847,5,Toronto Labor Lyceum,
1,Lakeview Park,1000000469978970,43.5742716,-79.555718,30,Lakeview Park,
3,Lambton Golf Club,1000000031812130,43.6691439,-79.5069653,4,Lambton Golf Club,en:Lambton Golf Club
2,Lassonde Building,1000000029003909,43.7739274,-79.5052406,5,Lassonde Building,
10,Lassonde Mining Building,1000000012873543,43.6595254,-79.3934675,5,Lassonde Mining Building,
7,Laura Secord,567243913,43.7780735,-79.3433613,0,Laura Secord,
5,Lawrence Heights Community Centre,1000000043804455,43.7180907,-79.4421096,6,Lawrence Heights Community Centre,
2,Lawrence West,55492958,43.7154925,-79.443913,2,Lawrence West,
20,Leslie Street Spit,1000000189780702,43.6326988,-79.3324101,4,Tommy Thompson Park,en:Leslie Street Spit
8,Little Norway Park,1000000022952584,43.634425,-79.3984881,31,Little Norway Park,en:Little Norway Park
17,Little Trinity Anglican Church,1000000151179247,43.653152,-79.3618377,61,Little Trinity Anglican Church,en:Little Trinity Anglican Church
1,Logan Convenience,373111394,43.6876259,-79.3531334,0,Logan Convenience,
6,Long Branch Loop,1000000009454784,43.5919318,-79.5440341,0,Long Branch Loop,
2,Long Branch Park,1000000205377393,43.5887082,-79.5300714,30,Long Branch Park,
7,Long Pond,555446532,43.6201663,-79.3827007,0,Long Pond,
2,Lord Lansdowne Public School,1000000019854553,43.6589364,-79.4018106,60,Lord Lansdowne Public School,
1,MacMillan Theatre,5052350790,43.666722,-79.3946275,6,MacMillan Theatre,
1,Mackenzie House,538153299,43.6557497,-79.3782498,41,Mackenzie House,en:Mackenzie House
1,Main Building,1000000225377144,43.6532936,-79.3915884,5,Main Building,
1,Malvern Collegiate Institute,1000000028204212,43.6826094,-79.2929337,31,Malvern Collegiate Institute,en:Malvern Collegiate Institute
8,Manulife Centre,1000000085613576,43.6691703,-79.3884056,6,Manulife Centre,en:Manulife Centre
897,Maple Leaf Gardens,1000000020060888,43.6621919,-79.3802902,31,Maple Leaf Gardens,en:Maple Leaf Gardens
5,Maple Leaf Quay,1000000035980705,43.6386924,-79.3891371,5,Maple Leaf Quay,
8,Market Lane Park,1000000403480278,43.6497313,-79.3724237,30,Market Lane Park,
8,Market Square,1000000033406514,43.6492127,-79.3737139,5,Market Square,
3,Masonic Temple,1000000059036049,43.6730806,-79.3882719,6,Masonic Temple,en:Masonic Temple (Toronto)
4,Massey College,2000000000004323,43.6648417,-79.3975236,5,Massey College,
66,Massey Hall,1000000062004062,43.6539659,-79.3789814,7,Massey Hall,en:Massey Hall
3,Matt Cohen Park,1000000027765437,43.6663012,-79.4032883,30,Matt Cohen Park,
2,Matty Eckler Playground,1000000041442047,43.6679996,-79.3384304,30,Matty Eckler Playground,
1,Max Gluskin House,1000000022372209,43.6660549,-79.3997785,5,Max Gluskin House,
9,McGill Parkette,1000000469489214,43.6598037,-79.3816442,30,McGill Parkette,
2,McGregor Park,1000000023296908,43.6531555,-79.4421267,30,McGregor Park,
8,McLaughlin Planetarium,1000000012000625,43.6669516,-79.3941569,6,McLaughlin Planetarium,en:McLaughlin Planetarium
5,McLennan Physical Laboratories,1000000014748199,43.6610125,-79.3985019,5,McLennan Physical Laboratories,
11,McMurrich Building,1000000023433608,43.6612699,-79.392926,5,McMurrich Building,
4,McPherson Park,1000000045780717,43.8362966,-79.1191437,30,McPherson Park,
13,Mechanical Engineering Building,1000000354180331,43.6600562,-79.3938368,5,Mechanical Engineering Building,
9,Medical Sciences Building,1000000023433615,43.6609326,-79.3933739,5,Medical Sciences Building,
1,Mel Lastman Square,1000000025033692,43.7676213,-79.4135428,1,Mel Lastman Square,en:Mel Lastman Square
1,Memorial Pool,1570352041,43.648264,-79.5197262,3,Memorial Pool,
30,Metro Hall,1000000096144517,43.6460472,-79.3887638,6,Metro Hall,en:Metro Hall
1,Metro Square,1000000055462298,43.8189754,-79.3308019,5,Metro Square,
1,Metro Toronto Convention Centre,1000000032023077,43.6438424,-79.3866247,7,Metro Toronto Convention Centre - North Building,en:Metro Toronto Convention Centre
93,Metro Toronto Zoo,1000000229069541,43.8198517,-79.1853386,41,Toronto Zoo,en:Toronto Zoo
38,Metropolitan United Church,1000000034007361,43.653924,-79.3766897,60,Metropolitan United Church,
8,Monarch Building,1000000104945749,43.6439546,-79.3969959,5,Monarch Building,
14,Monarch Park,1000000028156164,43.6777967,-79.3256589,30,Monarch Park,
2,Moorevale Park,1000000224690270,43.6935274,-79.3822096,30,Moorevale Park,
8,Moss Park Arena,380039751,43.654975,-79.370256,3,Moss Park Arena,
4,Moss Park Armoury,1000000156242947,43.654651,-79.3728094,5,Moss Park Armoury,
17,Mount Pleasant Cemetery,3511392093,43.6986034,-79.3734523,4,Mount Pleasant Cemetery,
1,Mount Pleasant Road Baptist Church,1000000113572575,43.7023519,-79.3873321,60,Mount Pleasant Road Baptist Church,
2,Mr. Barber,2782450924,43.6656873,-79.4792698,0,Mr. Barber,
5,Mt. Pleasant,1186839109,43.7056974,-79.3888988,6,Mt. Pleasant,
196,Nathan Phillips Square,2000000003201280,43.6524561,-79.3835543,1,Nathan Phillips Square,en:Nathan Phillips Square
5,National Yacht Club,1000000217604711,43.6317275,-79.4021656,5,National Yacht Club,
