citations,titles,dates,uniqueID,imageLink,CopyrightCode,totalNumber,source_url
"Fonds 1568, Item 201",Egerton Ryerson monument,[after 1900],135814,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1568/f1568_it0201.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=3401&EndIndex=3600
"Fonds 200, Series 372, Subseries 1, Item 640",High Park Shelter,"August 15, 1924",100756,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it0640.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=401&EndIndex=600
,,,,,,,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2801&EndIndex=3000
"Fonds 200, Series 372, Subseries 100, Item 728",Commissioners Street Incinerator,[195-],107054,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0728.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2601&EndIndex=2800
,,,,,,,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=5801&EndIndex=6000
"Fonds 200, Series 372, Subseries 79, Item 21",C.N.R. looking west on Eastern Avenue,"December 28, 1925",143848,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0079/s0372_ss0079_it0021.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=4601&EndIndex=4800
"Fonds 200, Series 372, Subseries 1, Item 1259","332, 334, 336 Beech Avenue","December 19, 1933",101943,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it1259.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=1001&EndIndex=1200
"Fonds 200, Series 372, Subseries 1, Item 856","Turner's Baths, Toronto Island (West Island)","August 30, 1928",101073,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it0856.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=601&EndIndex=800
"Fonds 200, Series 372, Subseries 1, Item 819",St. Lawrence Stables,"May 15, 1928",101035,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it0819.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=601&EndIndex=800
"Fonds 200, Series 372, Subseries 19, Item 83",Pavement - construction,"October 19, 1915",107369,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0019/s0372_ss0019_it0083.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2801&EndIndex=3000
